Время, T, RH
15.03.22 13:30:56,1.76,52.04
15.03.22 13:50:56,-0.32,59.87
15.03.22 14:10:56,1.00,52.81
15.03.22 14:30:56,-0.76,50.15
15.03.22 14:50:56,-0.94,53.55
15.03.22 15:10:56,1.98,44.73
15.03.22 15:30:56,-1.36,51.80
15.03.22 15:50:56,-0.10,50.63
15.03.22 16:10:56,-1.66,54.91
15.03.22 16:30:56,-1.66,50.88
15.03.22 16:50:56,-1.66,53.79
15.03.22 17:10:56,-2.96,58.24
15.03.22 17:30:56,-3.90,59.36
15.03.22 17:50:56,-4.45,61.30
15.03.22 18:10:56,-5.34,64.56
15.03.22 18:30:56,-5.44,64.74
15.03.22 18:50:56,-5.58,65.45
15.03.22 19:10:56,-6.38,68.67
15.03.22 19:30:56,-6.88,72.25
15.03.22 19:50:56,-7.29,73.26
15.03.22 20:10:56,-7.87,76.04
15.03.22 20:30:56,-8.60,78.02
15.03.22 20:50:56,-9.00,80.82
15.03.22 21:10:56,-9.74,82.14
15.03.22 21:30:56,-10.00,84.48
15.03.22 21:50:56,-10.18,86.09
15.03.22 22:10:56,-11.02,86.64
15.03.22 22:30:56,-11.51,88.52
15.03.22 22:50:56,-11.77,89.53
15.03.22 23:10:56,-11.66,90.73
15.03.22 23:30:56,-11.72,91.93
15.03.22 23:50:56,-12.18,92.31
16.03.22 00:10:56,-12.06,92.71
16.03.22 00:30:56,-12.26,92.57
16.03.22 00:50:56,-12.66,92.29
16.03.22 01:10:56,-12.80,93.61
16.03.22 01:30:56,-13.58,93.66
16.03.22 01:50:56,-13.58,94.02
16.03.22 02:10:56,-13.91,93.38
16.03.22 02:30:56,-14.43,93.28
16.03.22 02:50:56,-14.62,92.46
16.03.22 03:10:56,-14.86,92.80
16.03.22 03:30:56,-14.52,92.39
16.03.22 03:50:56,-15.03,92.43
16.03.22 04:10:56,-15.28,92.09
16.03.22 04:30:56,-15.42,92.19
16.03.22 04:50:56,-15.46,91.86
16.03.22 05:10:56,-16.00,91.44
16.03.22 05:30:56,-15.89,91.69
16.03.22 05:50:56,-15.98,91.30
16.03.22 06:10:56,-16.28,91.22
16.03.22 06:30:56,-16.25,90.91
16.03.22 06:50:56,-16.06,91.08
16.03.22 07:10:56,-14.75,91.42
16.03.22 07:30:56,-13.66,92.22
16.03.22 07:50:56,-12.28,92.10
16.03.22 08:10:56,-11.30,91.86
16.03.22 08:30:56,-10.22,91.17
16.03.22 08:50:56,-9.24,89.59
16.03.22 09:10:56,-7.93,79.42
16.03.22 09:30:56,-6.88,60.49
16.03.22 09:50:56,-5.74,56.21
16.03.22 10:10:56,-5.06,51.69
16.03.22 10:30:56,-4.44,46.65
16.03.22 10:50:56,-3.74,44.46
16.03.22 11:10:56,-3.15,41.81
16.03.22 11:30:56,-2.67,39.54
16.03.22 11:50:56,-1.29,37.06
16.03.22 12:10:56,-1.38,36.31
16.03.22 12:30:56,-1.37,33.75
16.03.22 12:50:56,-0.04,32.41
16.03.22 13:10:56,2.44,27.17
16.03.22 13:30:56,3.54,25.61
16.03.22 13:50:56,2.64,29.07
16.03.22 14:10:56,0.72,28.66
16.03.22 14:30:56,2.75,27.99
16.03.22 14:50:56,0.39,29.33
16.03.22 15:10:56,0.00,29.92
16.03.22 15:30:56,-0.16,31.74
16.03.22 15:50:56,0.00,31.00
16.03.22 16:10:56,-1.06,33.65
16.03.22 16:30:56,-1.88,37.71
16.03.22 16:50:56,-2.70,38.99
16.03.22 17:10:56,-3.00,36.33
16.03.22 17:30:56,-3.88,40.19
16.03.22 17:50:56,-4.64,44.41
16.03.22 18:10:56,-5.10,44.85
16.03.22 18:30:56,-5.92,47.33
16.03.22 18:50:56,-7.04,51.69
16.03.22 19:10:56,-7.91,54.96
16.03.22 19:30:56,-8.22,54.72
16.03.22 19:50:56,-8.42,53.53
16.03.22 20:10:56,-9.11,56.20
16.03.22 20:30:56,-9.70,57.58
16.03.22 20:50:56,-10.14,61.98
16.03.22 21:10:56,-11.18,65.58
16.03.22 21:30:56,-11.31,68.22
16.03.22 21:50:56,-11.76,69.52
16.03.22 22:10:56,-12.25,72.86
16.03.22 22:30:56,-12.32,74.60
16.03.22 22:50:56,-13.34,76.60
16.03.22 23:10:56,-13.74,76.13
16.03.22 23:30:56,-13.86,77.73
16.03.22 23:50:56,-14.34,79.37
17.03.22 00:10:56,-14.82,79.74
17.03.22 00:30:56,-14.64,79.59
17.03.22 00:50:56,-14.57,80.88
17.03.22 01:10:56,-15.20,80.63
17.03.22 01:30:56,-15.28,80.90
17.03.22 01:50:56,-15.48,81.82
17.03.22 02:10:56,-15.23,83.23
17.03.22 02:30:56,-15.32,82.39
17.03.22 02:50:56,-16.14,82.76
17.03.22 03:10:56,-16.33,83.43
17.03.22 03:30:56,-17.07,83.08
17.03.22 03:50:56,-17.18,84.17
17.03.22 04:10:56,-17.60,84.48
17.03.22 04:30:56,-17.68,85.10
17.03.22 04:50:56,-17.54,85.63
17.03.22 05:10:56,-17.96,85.98
17.03.22 05:30:56,-18.10,85.53
17.03.22 05:50:56,-17.95,86.75
17.03.22 06:10:56,-17.97,85.84
17.03.22 06:30:56,-17.70,85.70
17.03.22 06:50:56,-17.80,84.43
17.03.22 07:10:56,-16.62,82.98
17.03.22 07:30:56,-15.16,79.08
17.03.22 07:50:56,-13.32,74.28
