	T_C	RH_	prediction	
1	-17.95000076	86.75227356	5.850850924	80.90142264
2	-17.79999924	84.43363953	6.330576031	78.1030635
3	-17.70000076	85.70101929	6.068355309	79.63266398
4	-17.68000031	85.09805298	6.193108966	78.90494401
5	-17.60000038	84.48461914	6.320028355	78.16459079
6	-17.54000092	85.62563324	6.083952673	79.54168057
7	-17.18000031	84.16710663	6.385721656	77.78138497
8	-17.06999969	83.08113098	6.610409888	76.47072109
9	-16.62000084	82.97906494	6.63152734	76.3475376
10	-16.13999939	82.76396942	6.676030578	76.08793884
11	-16.05999947	91.0772934	4.956004833	86.12128856
12	-16	91.43551636	4.881888545	86.55362781
13	-15.97999954	91.30447388	4.909001218	86.39547266
14	-15.46000004	91.85865021	4.794342201	87.06430801
15	-15.34000015	88.90538025	5.405373405	83.50000684
16	-15.27999973	80.90210724	7.061249642	73.8408576
17	-15.27999973	92.09083557	4.746303077	87.34453249
18	-15.22999954	83.22929382	6.579755014	76.64953881
19	-15.19999981	80.62989044	7.117571265	73.51231918
20	-15.14999962	89.18811035	5.346876581	83.84123377
21	-15.02000046	88.92150879	5.402036412	83.51947238
22	-14.85999966	88.80166626	5.426831818	83.37483444
23	-14.85999966	92.79922485	4.599737418	88.19948744
24	-14.81999969	79.74493408	7.300668631	72.44426545
25	-14.80000019	89.09654999	5.365820409	83.73072958
26	-14.68000031	89.26803589	5.330339997	83.93769589
27	-14.64000034	79.59159851	7.332393743	72.25920477
28	-14.46000004	89.7447052	5.231717173	84.51298803
29	-14.43000031	93.28340149	4.49956133	88.78384016
30	-14.23999977	88.43054199	5.503617384	82.92692461
31	-14.18000031	90.00575256	5.177706504	84.82804606
32	-13.85999966	77.72547913	7.718493622	70.0069855
33	-13.73999977	76.13137817	8.04831292	68.08306525
34	-13.65999985	90.86443329	5.000045564	85.86438772
35	-13.35999966	91.29302979	4.911368999	86.38166079
36	-13.32999992	87.25939941	5.745926645	81.51347277
37	-13.31999969	74.28452301	8.430427035	65.85409598
38	-13.03999996	91.6579361	4.835869927	86.82206617
39	-13.02000046	91.34009552	4.901631105	86.43846442
40	-12.89999962	91.78879547	4.808795138	86.98000033
41	-12.82999992	90.95207977	4.981911517	85.97016826
42	-12.80000019	93.60678864	4.432652568	89.17413607
43	-12.77999973	91.72953033	4.821057088	86.90847325
44	-12.46000004	90.05141449	5.168259057	84.88315543
45	-12.27999973	92.09838104	4.74474192	87.35363912
46	-12.26000023	92.56532288	4.64813171	87.91719117
